vehicle_name,transportation_network,vehicle_type,capacity_tons,vehicle_tons,total_tons,capacity_m3,emissions_perKm_tCO2,emissions_perKm_gNOX,emissions_perKm_gPM2p5,emissions_perKm_gPM10,difference,emissions_perTonKm_tCO2,emissions_perTonKm_gNOX,emissions_perTonKm_gPM10,emissions_perTonKm_gPM5,nAxels,capacity_aluminium,capacity_brick,capacity_cement_cover-floor,capacity_concrete_in-situ,capacity_concrete_prefab,capacity_furnishing_stone,capacity_glass,capacity_gravel_sand,capacity_gypsum,capacity_isolation,capacity_plaster,capacity_bitumen,capacity_steel,capacity_timber,capacity_biobased,capacity_modules_2D,capacity_modules_3D
Bestelauto,road,diesel,2,1.0,3.0,10.0,0.000231,0.99,0.0096,0.0192,0.39,,,,,2.0,0.8,2.0,4.4,4.8,1.3,1.0,0.8,2.0,1.3,0.1,1.3,1.2,1.2,1.6,1.6,2.0,0.7
Bestelauto,road,electric,2,1.0,3.0,10.0,0.0,0.0,0.0096,0.0192,0.39,,,,,2.0,0.8,2.0,4.4,4.8,1.3,1.0,0.8,2.0,1.3,0.1,1.3,1.2,1.2,1.6,1.6,2.0,0.7
Bakwagen,road,diesel,26,24.0,50.0,40.0,0.000775,4.98,0.0187,0.0374,0.73,,,,,2.0,10.4,26.0,57.2,62.4,16.6,12.5,10.4,26.0,16.6,1.3,16.6,15.6,15.6,20.8,20.8,26.0,9.2
Bakwagen,road,electric,24,26.0,50.0,40.0,0.0,0.0,0.0187,0.0374,0.73,,,,,2.0,9.6,24.0,52.8,57.6,15.4,11.5,9.6,24.0,15.4,1.2,15.4,14.4,14.4,19.2,19.2,24.0,8.5
Trekker-opleggercombinatie,road,diesel,26,24.0,50.0,60.0,0.001539,5.71,0.01805,0.0361,0.73,,,,,3.0,10.4,26.0,57.2,62.4,16.6,12.5,10.4,26.0,16.6,1.3,16.6,15.6,15.6,20.8,20.8,26.0,9.2
Trekker-opleggercombinatie,road,electric,24,26.0,50.0,60.0,0.0,0.0,0.01805,0.0361,0.73,,,,,2.0,9.6,24.0,52.8,57.6,15.4,11.5,9.6,24.0,15.4,1.2,15.4,14.4,14.4,19.2,19.2,24.0,8.5
Trekker-aanhangwagenkombinatie,road,diesel,26,24.0,50.0,90.0,0.001539,5.71,0.01805,0.0361,0.73,,,,,4.0,10.4,26.0,57.2,62.4,16.6,12.5,10.4,26.0,16.6,1.3,16.6,15.6,15.6,20.8,20.8,26.0,9.2
Trekker-aanhangwagenkombinatie,road,electric,24,26.0,50.0,90.0,0.0,0.0,0.01805,0.0361,0.73,,,,,4.0,9.6,24.0,52.8,57.6,15.4,11.5,9.6,24.0,15.4,1.2,15.4,14.4,14.4,19.2,19.2,24.0,8.5
Langere en Zwaardere Vrachtautocombinatie,road,diesel,26,24.0,50.0,120.0,0.001539,5.71,0.01805,0.0361,0.73,,,,,6.0,10.4,26.0,57.2,62.4,16.6,12.5,10.4,26.0,16.6,1.3,16.6,15.6,15.6,20.8,20.8,26.0,9.2
Langere en Zwaardere Vrachtautocombinatie,road,electric,24,26.0,50.0,120.0,0.0,0.0,0.01805,0.0361,0.73,,,,,6.0,9.6,24.0,52.8,57.6,15.4,11.5,9.6,24.0,15.4,1.2,15.4,14.4,14.4,19.2,19.2,24.0,8.5
Mixer,road,diesel,26,24.0,50.0,15.0,0.001539,5.71,0.01805,0.0361,0.73,,,,,4.0,10.4,26.0,57.2,62.4,16.6,12.5,10.4,26.0,16.6,1.3,16.6,15.6,15.6,20.8,20.8,26.0,9.2
Mixer,road,electric,24,26.0,50.0,15.0,0.0,0.0,0.01805,0.0361,0.73,,,,,4.0,9.6,24.0,52.8,57.6,15.4,11.5,9.6,24.0,15.4,1.2,15.4,14.4,14.4,19.2,19.2,24.0,8.5
Kiepwagen,road,diesel,26,24.0,50.0,20.0,0.001539,5.71,0.01805,0.0361,0.73,,,,,3.0,10.4,26.0,57.2,62.4,16.6,12.5,10.4,26.0,16.6,1.3,16.6,15.6,15.6,20.8,20.8,26.0,9.2
Kiepwagen,road,electric,24,26.0,50.0,20.0,0.0,0.0,0.01805,0.0361,0.73,,,,,3.0,9.6,24.0,52.8,57.6,15.4,11.5,9.6,24.0,15.4,1.2,15.4,14.4,14.4,19.2,19.2,24.0,8.5
Schip Klein,water,water,350,,,350.0,0.013435039370078724,175.0,4.158,8.316,,3.83858267716535e-05,0.5,0.023760000000000003,0.01188,,140.0,350.0,770.0,840.0,224.0,168.0,140.0,350.0,224.0,17.5,224.0,210.0,210.0,280.0,280.0,350.0,123.5
Schip Groot,water,water,4000,,,5197.5,0.15354330708661418,2000.0,47.52,95.04000000000002,,3.8385826771653546e-05,0.5,0.023760000000000003,0.01188,,1600.0,4000.0,8800.0,9600.0,2560.0,1920.0,1600.0,4000.0,2560.0,200.0,2560.0,2400.0,2400.0,3200.0,3200.0,4000.0,1411.2
Trein,rail,rail,1200,,,2600.0,0.009448818897637795,156.0,0.0019800000000000004,0.003960000000000001,,7.874015748031496e-06,0.13,3.3000000000000006e-06,1.6500000000000003e-06,,480.0,1200.0,2640.0,2880.0,768.0,576.0,480.0,1200.0,768.0,60.0,768.0,720.0,720.0,960.0,960.0,1200.0,423.4
